condition1,trialNo,stim1,accuracy,RT,participant,early_late_acquisition,language,congruency
incongruent_span,11,cat_PERRO,1,1050,5829,late,span,incong
congruent_span,12,cat_GATO,1,798,5829,late,span,cong
incongruent_eng,13,cheese_APPLE,1,1062,5829,late,eng,incong
congruent_eng,14,cheese_CHEESE,1,679,5829,late,eng,cong
incongruent_span,15,cheese_MANZANA,1,799,5829,late,span,incong
congruent_span,16,cheese_QUESO,1,950,5829,late,span,cong
congruent_eng,17,cow_COW,1,1033,5829,late,eng,cong
incongruent_eng,18,cow_BIRD,1,1034,5829,late,eng,incong
congruent_span,19,cow_VACA,1,690,5829,late,span,cong
incongruent_span,20,cow_PAJARO,1,889,5829,late,span,incong
congruent_eng,21,dog_DOG,1,676,5829,late,eng,cong
congruent_span,22,dog_PERRO,1,701,5829,late,span,cong
incongruent_eng,23,dog_CAT,1,997,5829,late,eng,incong
incongruent_span,24,dog_GATO,1,839,5829,late,span,incong
congruent_eng,25,eye_EYE,1,635,5829,late,eng,cong
congruent_span,26,eye_OJO,1,643,5829,late,span,cong
incongruent_span,27,eye_MANO,1,851,5829,late,span,incong
incongruent_eng,28,eye_HAND,1,821,5829,late,eng,incong
congruent_eng,29,hand_HAND,1,753,5829,late,eng,cong
congruent_span,30,hand_MANO,1,823,5829,late,span,cong
incongruent_span,31,hand_BOCA,1,714,5829,late,span,incong
incongruent_eng,32,hand_MOUTH,1,617,5829,late,eng,incong
congruent_eng,33,mouth_MOUTH,1,1681,5829,late,eng,cong
congruent_span,34,mouth_BOCA,1,820,5829,late,span,cong
incongruent_span,35,mouth_NARIZ,1,1360,5829,late,span,incong
incongruent_eng,36,mouth_NOSE,1,666,5829,late,eng,incong
congruent_eng,37,nose_NOSE,1,703,5829,late,eng,cong
congruent_span,38,nose_NARIZ,1,631,5829,late,span,cong
incongruent_eng,39,nose_HAND,1,617,5829,late,eng,incong
incongruent_span,40,nose_MANO,1,654,5829,late,span,incong
incongruent_span,41,strawberry_CARNE,1,749,5829,late,span,incong
incongruent_eng,42,strawberry_CHEESE,1,669,5829,late,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,1,797,5829,late,eng,cong
congruent_span,44,strawberry_FRESA,1,756,5829,late,span,cong
congruent_eng,1,apple_APPLE,1,761,1558,early,eng,cong
congruent_span,2,apple_MANZANA,1,1289,1558,early,span,cong
incongruent_eng,3,apple_MEAT,1,1397,1558,early,eng,incong
incongruent_span,4,apple_QUESO,1,1192,1558,early,span,incong
congruent_eng,5,bird_BIRD,1,807,1558,early,eng,cong
incongruent_eng,6,bird_DOG,1,1074,1558,early,eng,incong
congruent_span,7,bird_PAJARO,1,1120,1558,early,span,cong
incongruent_span,8,bird_PERRO,1,855,1558,early,span,incong
congruent_eng,9,cat-CAT,1,806,1558,early,eng,cong
incongruent_eng,10,cat_DOG,1,1616,1558,early,eng,incong
incongruent_span,11,cat_PERRO,0,1108,1558,early,span,incong
congruent_span,12,cat_GATO,1,932,1558,early,span,cong
incongruent_eng,13,cheese_APPLE,1,1197,1558,early,eng,incong
congruent_eng,14,cheese_CHEESE,1,1671,1558,early,eng,cong
incongruent_span,15,cheese_MANZANA,0,972,1558,early,span,incong
congruent_span,16,cheese_QUESO,1,906,1558,early,span,cong
congruent_eng,17,cow_COW,1,887,1558,early,eng,cong
incongruent_eng,18,cow_BIRD,1,1380,1558,early,eng,incong
congruent_span,19,cow_VACA,1,866,1558,early,span,cong
incongruent_span,20,cow_PAJARO,1,895,1558,early,span,incong
congruent_eng,21,dog_DOG,1,912,1558,early,eng,cong
congruent_span,22,dog_PERRO,1,1055,1558,early,span,cong
incongruent_eng,23,dog_CAT,1,1561,1558,early,eng,incong
incongruent_span,24,dog_GATO,1,900,1558,early,span,incong
congruent_eng,25,eye_EYE,1,763,1558,early,eng,cong
congruent_span,26,eye_OJO,1,1364,1558,early,span,cong
incongruent_span,27,eye_MANO,1,903,1558,early,span,incong
incongruent_eng,28,eye_HAND,1,1249,1558,early,eng,incong
congruent_eng,29,hand_HAND,1,933,1558,early,eng,cong
congruent_span,30,hand_MANO,1,873,1558,early,span,cong
incongruent_span,31,hand_BOCA,1,1102,1558,early,span,incong
incongruent_eng,32,hand_MOUTH,0,970,1558,early,eng,incong
congruent_eng,33,mouth_MOUTH,1,963,1558,early,eng,cong
congruent_span,34,mouth_BOCA,1,817,1558,early,span,cong
incongruent_span,35,mouth_NARIZ,1,1143,1558,early,span,incong
