rowNo,type,condition1,trialNo,stim1,accuracy,stimFormat,stimSize,ITI,presTime,random,responseType,responseOptions,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,participant,early_late_acquisition,proficiency_self_rated,current_exposure
30,test,incongruent_eng,28,eye_HAND,1,.jpg,500 500,800,2000,1,mic,save,800,48,16.67,2001,120,16.68,167118,mic,1249,1558,early,10,5
31,test,congruent_eng,29,hand_HAND,1,.jpg,450 450,800,2000,1,mic,save,800,48,16.67,2000,117,17.09,128701,mic,933,1558,early,10,5
32,test,congruent_span,30,hand_MANO,1,.jpg,450 450,800,2000,1,mic,save,800,48,16.67,1994,116,17.10,187511,mic,873,1558,early,10,5
33,test,incongruent_span,31,hand_BOCA,1,.jpg,450 450,800,2000,1,mic,save,800,48,16.67,2000,117,17.09,178755,mic,1102,1558,early,10,5
34,test,incongruent_eng,32,hand_MOUTH,0,.jpg,450 450,800,2000,1,mic,save,799,48,16.65,2000,117,17.09,97536,mic,970,1558,early,10,5
35,test,congruent_eng,33,mouth_MOUTH,1,.png,600 600,800,2000,1,mic,save,800,48,16.67,2000,118,16.95,196033,mic,963,1558,early,10,5
36,test,congruent_span,34,mouth_BOCA,1,.png,600 600,800,2000,1,mic,save,800,48,16.67,1938,114,16.97,181489,mic,817,1558,early,10,5
37,test,incongruent_span,35,mouth_NARIZ,1,.png,600 600,800,2000,1,mic,save,800,48,16.67,2000,118,16.95,144094,mic,1143,1558,early,10,5
38,test,incongruent_eng,36,mouth_NOSE,1,.png,600 600,800,2000,1,mic,save,800,48,16.67,2000,118,16.95,175753,mic,1248,1558,early,10,5
39,test,congruent_eng,37,nose_NOSE,1,.jpg,400 500,800,2000,1,mic,save,800,48,16.67,1957,117,16.67,112754,mic,837,1558,early,10,5
40,test,congruent_span,38,nose_NARIZ,1,.jpg,400 500,800,2000,1,mic,save,796,48,16.58,2000,120,16.67,85539,mic,1840,1558,early,10,5
41,test,incongruent_eng,39,nose_HAND,1,.jpg,400 500,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,122886,mic,1553,1558,early,10,5
42,test,incongruent_span,40,nose_MANO,1,.jpg,400 500,800,2000,1,mic,save,799,48,16.65,2000,119,16.81,110008,mic,1336,1558,early,10,5
43,test,incongruent_span,41,strawberry_CARNE,1,.jpg,400 500,800,2000,1,mic,save,799,48,16.65,2000,120,16.67,184729,mic,1325,1558,early,10,5
44,test,incongruent_eng,42,strawberry_CHEESE,1,.jpg,400 500,800,2000,1,mic,save,800,48,16.67,2000,119,16.81,152823,mic,921,1558,early,10,5
45,test,congruent_eng,43,strawberry_STRAWBERRY,1,.jpg,400 500,800,2000,1,mic,save,799,48,16.65,2001,120,16.68,161246,mic,894,1558,early,10,5
46,test,congruent_span,44,strawberry_FRESA,1,.jpg,400 500,800,2000,1,mic,save,800,48,16.67,2000,120,16.67,91630,mic,1513,1558,early,10,5
